date,Campaign,Ad group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Impressions,Clicks,CTR,Avg. CPC,Cost,Conversions,Conv. rate,Quality Score,Search Impression Share
{{T-13d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4790,312,0.065136,4.2,1309.07,17.0,0.054487,9,0.7241
{{T-13d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,3920,255,0.065051,4.2,1071.06,14.0,0.054902,9,0.7241
{{T-13d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7099,300,0.042259,7.31,2191.89,14.0,0.046667,7,0.4118
{{T-13d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5809,246,0.042348,7.29,1793.37,12.0,0.04878,7,0.4118
{{T-13d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3473,108,0.031097,9.55,1031.46,3.0,0.027778,5,0.2766
{{T-13d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2841,89,0.031327,9.48,843.93,2.0,0.022472,5,0.2766
{{T-12d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4942,322,0.065156,4.19,1350.53,18.0,0.055901,9,0.7241
{{T-12d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,4044,263,0.065035,4.2,1104.98,14.0,0.053232,9,0.7241
{{T-12d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7333,310,0.042275,7.31,2266.35,15.0,0.048387,7,0.4118
{{T-12d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,6000,254,0.042333,7.3,1854.28,12.0,0.047244,7,0.4118
{{T-12d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3578,112,0.031302,9.49,1063.02,3.0,0.026786,5,0.2766
{{T-12d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2928,91,0.031079,9.56,869.74,2.0,0.021978,5,0.2766
{{T-11d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4621,301,0.065137,4.2,1264.38,16.0,0.053156,9,0.7241
{{T-11d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,3781,246,0.065062,4.21,1034.49,14.0,0.056911,9,0.7241
{{T-11d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,6956,294,0.042266,7.31,2149.4,14.0,0.047619,7,0.4118
